Site,SiteTreatment,Treatment,Species,TAG,IndTag,SpruceDensity,AspenDensity,BirchDensity,WillowDensity,TotalDensity,Decid:conif,Height2013,Height2014,AnnHGr2014,Height2015,FinalHeightGr,AnnHGr,PosFinalHeightGr,PropHGr,PropHGr20142015,Basal2013,Basal2014,Basal2015,FinalBasalGr,PropBasalGr,DBH2013,DBH2014,DBH2015,CrownDepth2013,CrownDepth2014,CrownDepth2015,CrownWidth2013,CrownWidth2014,CrownWidth2015,CrownPerp2013,CrownPerp2014,CrownPerp2015,CrownWmean2014,CrownWmean2015,PropCrownWidthChange,PropCrownDepthChange,CrownRatio2014,CrownRatio2015,ChangeInCrownRatio,Winter2014Herb,Health2013,Health2014,Health2015,PastHerbivory2013,Alive2013,Alive2014,Alive2015,LeafLength2013,LeafLength2014,LeafLength2015,PropLeafChange,Winter2015Herb,LeafLengthAdjusted2015,AdjPropLeafChange,Height2017,Basal2017,DBH2017,CrownDepth2017,CrownWidth2017,CrownPerp2017,CrownWMean2017,Health,Alive2017,Notes,Browsed2017,FinalPropHeightChange,FinalPropBasalChange,FinalPropCrownD,FinalPropCrownW
BF79,BF79C,Control,aspen,TA17,BF79CTA17,2.65,15.9,15.75,1.4,35.7,11.94339623,47,59,12,61,14,7,61.1,29.78723404,3.389830508,5,8,13,8,160,na,na,na,na,27,33,na,24,21,na,13,15,18.5,18,-2.702702703,22.22222222,1.459459459,1.833333333,0.373873874,0,na,2,1,0,1,1,1,na,34.9,41.8,19.77077364,0,29.26,-16.16045845,57,6.4,na,10,10,12,11,4,1,,0,17.54385965,21.875,-170,-68.18181818
BF79,BF79C,Control,aspen,TA6,BF79CTA6,2.65,15.9,15.75,1.4,35.7,11.94339623,78,84,6,87,9,4.5,56.1,11.53846154,3.571428571,7,8,8,1,14.28571429,na,na,na,na,43,43,na,26,11,na,15,8,20.5,9.5,-53.65853659,0,2.097560976,4.526315789,2.428754813,0,na,1,2,0,1,1,1,na,30.3,39.8,31.35313531,0,27.86,-8.052805281,68,9.2,na,28,26,11,18.5,4,1,,0,-14.70588235,23.91304348,-53.57142857,-10.81081081
BF79,BF79C,Control,aspen,TA7,BF79CTA7,2.65,15.9,15.75,1.4,35.7,11.94339623,44,48,4,50,6,3,53.1,13.63636364,4.166666667,5,7,7,2,40,na,na,na,na,30,15,na,15,11,na,11,8,13,9.5,-26.92307692,-50,2.307692308,1.578947368,-0.72874494,0,na,1,1,0,1,1,1,na,27.6,46.6,68.84057971,0,32.62,18.1884058,57,7.8,na,31,21,19,20,4,1,,0,22.80701754,35.8974359,3.225806452,35
BF79,BF79C,Control,aspen,TA8,BF79CTA8,2.65,15.9,15.75,1.4,35.7,11.94339623,31,44,13,40,9,4.5,56.1,29.03225806,-9.090909091,4,6,5,1,25,na,na,na,na,18,11,na,17,12,na,10,6,13.5,9,-33.33333333,-38.88888889,1.333333333,1.222222222,-0.111111111,0,na,1,0,0,1,1,1,na,23.9,34.9,46.0251046,0,24.43,2.217573222,43,5.6,na,16,22,16,19,4,1,,0,27.90697674,28.57142857,-12.5,28.94736842
BF79,BF79C,Control,aspen,TA11,BF79CTA11,2.65,15.9,15.75,1.4,35.7,11.94339623,81,99,18,99,18,9,65.1,22.22222222,0,9,11,11,2,22.22222222,na,na,na,na,56,15,na,30,11,na,22,6,26,8.5,-67.30769231,-73.21428571,2.153846154,1.764705882,-0.389140272,0,na,1,0,1,1,1,1,na,33.7,44.9,33.23442136,0,31.43,-6.735905045,106,10.5,na,56,41,28,34.5,4,1,,0,23.58490566,14.28571429,0,24.63768116
BF79,BF79C,Control,aspen,TA12,BF79CTA12,2.65,15.9,15.75,1.4,35.7,11.94339623,116,116,0,122,6,3,53.1,5.172413793,5.172413793,12,16,16,4,33.33333333,na,na,na,na,60,57,na,70,49,na,49,20,59.5,34.5,-42.01680672,-5,1.008403361,1.652173913,0.643770552,0,na,1,1,1,1,1,1,na,30.9,40.4,30.74433657,0,28.28,-8.478964401,152,14.8,3.5,91,73,65,69,3,1,,0,23.68421053,18.91891892,34.06593407,13.76811594
BF79,BF79C,Control,aspen,TA16,BF79CTA16,2.65,15.9,15.75,1.4,35.7,11.94339623,75,75,0,79,4,2,51.1,5.333333333,5.333333333,9,9,10,1,11.11111111,na,na,na,na,48,53,na,30,28,na,17,19,23.5,23.5,0,10.41666667,2.042553191,2.255319149,0.212765958,0,na,1,1,1,1,1,1,na,27.8,31.3,12.58992806,0,21.91,-21.18705036,95,10.6,na,58,39,23,31,,1,,0,21.05263158,15.09433962,17.24137931,24.19354839
BF79,BF79C,Control,aspen,TA18,BF79CTA18,2.65,15.9,15.75,1.4,35.7,11.94339623,83,105,22,107,24,12,71.1,28.91566265,1.904761905,7,14,10,3,42.85714286,na,na,na,na,86,45,na,24,24,na,13,15,18.5,19.5,5.405405405,-47.6744186,4.648648649,2.307692308,-2.340956341,0,na,1,2,1,1,1,1,na,33.6,43.5,29.46428571,0,30.45,-9.375,119,10.3,na,40,21,10,15.5,3,1,,0,30.25210084,32.03883495,-115,-19.35483871
BF79,BF79C,Control,aspen,TA19,BF79CTA19,2.65,15.9,15.75,1.4,35.7,11.94339623,38,51,13,49,11,5.5,58.1,28.94736842,-3.921568627,7,8,14,7,100,na,na,na,na,27,20,na,22,14,na,10,12,16,13,-18.75,-25.92592593,1.6875,1.538461538,-0.149038462,0,na,1,1,1,1,1,1,na,29.2,35.7,22.26027397,0,24.99,-14.41780822,52,10.6,na,6,15,11,13,4,1,,0,26.92307692,33.96226415,-350,-23.07692308
BF79,BF79C,Control,aspen,TA20,BF79CTA20,2.65,15.9,15.75,1.4,35.7,11.94339623,44,50,6,53,9,4.5,56.1,20.45454545,6,9,12,10,1,11.11111111,na,na,na,na,35,36,na,29,29,na,24,21,26.5,25,-5.660377358,2.857142857,1.320754717,1.44,0.119245283,0,na,2,1,1,1,1,1,na,25.2,35.4,40.47619048,0,24.78,-1.666666667,56,7.9,na,35,24,19,21.5,4,1,,0,21.42857143,-13.92405063,0,-23.25581395
BF79,BF79C,Control,aspen,TA3,BF79CTA3,2.65,15.9,15.75,1.4,35.7,11.94339623,84,112,28,121,37,18.5,84.1,44.04761905,8.035714286,9,10,12,3,33.33333333,na,na,na,na,61,51,na,38,25,na,25,20,31.5,22.5,-28.57142857,-16.39344262,1.936507937,2.266666667,0.33015873,0,na,4,4,1,1,1,1,na,33.2,45.5,37.04819277,0,31.85,-4.06626506,126,12.4,na,50,38,28,33,3,1,,0,33.33333333,27.41935484,-22,4.545454545
BF79,BF79C,Control,aspen,TA4,BF79CTA4,2.65,15.9,15.75,1.4,35.7,11.94339623,106,108,2,139,33,16.5,80.1,31.13207547,28.7037037,14,12,11,-3,-21.42857143,na,na,na,na,63,85,na,46,41,na,19,20,32.5,30.5,-6.153846154,34.92063492,1.938461538,2.786885246,0.848423708,0,na,1,1,1,1,1,1,na,45.1,47.9,6.208425721,0,33.53,-25.654102,167,15.7,3.6,86,90,41,65.5,4,1,,0,36.52694611,10.82802548,26.74418605,50.38167939
BF79,BF79C,Control,aspen,TA5,BF79CTA5,2.65,15.9,15.75,1.4,35.7,11.94339623,61,59,-2,71,10,5,57.1,16.39344262,20.33898305,7,8,9,2,28.57142857,na,na,na,na,35,38,na,22,22,na,17,19,19.5,20.5,5.128205128,8.571428571,1.794871795,1.853658537,0.058786742,0,na,1,2,1,1,1,1,na,21.3,38.6,81.22065728,0,27.02,26.85446009,78,9.9,na,70,38,22,30,4,1,,0,21.79487179,29.29292929,50,35
BF82,BF82C,Control,aspen,TA17,BF82CTA17,5,6.75,12.5,15.2,39.45,3.85,32,38,6,33,1,0.5,48.1,3.125,-13.15789474,2,3,5,3,150,na,na,na,na,11,15,na,7,11,na,6,8,6.5,9.5,46.15384615,36.36363636,1.692307692,1.578947368,-0.113360324,0,na,2,2,0,1,1,1,na,19,31.2,64.21052632,0,21.84,14.94736842,na,na,na,na,na,na,na,na,0,,0,na,na,na,na
BF82,BF82C,Control,aspen,TA19,BF82CTA19,5,6.75,12.5,15.2,39.45,3.85,13,15,2,23,10,5,57.1,76.92307692,53.33333333,1,3,4,3,300,na,na,na,na,4,10,na,7,9,na,7,7,7,8,14.28571429,150,0.571428571,1.25,0.678571429,0,na,2,2,0,1,1,1,na,24.42857143,36.375,48.90350876,0,25.4625,4.232456134,na,na,na,na,na,na,na,na,0,couldn't find,0,na,na,na,na
BF82,BF82C,Control,aspen,TA10,BF82CTA10,5,6.75,12.5,15.2,39.45,3.85,34,38,4,36,2,1,49.1,5.882352941,-5.263157895,3,4,5,2,66.66666667,na,na,na,na,21,21,na,15,12,na,12,9,13.5,10.5,-22.22222222,0,1.555555556,2,0.444444444,0,na,1,3,0,1,1,1,na,24.1,38.9,61.41078838,0,27.23,12.98755187,42,4.1,na,16,11,4,7.5,4,1,,0,19.04761905,26.82926829,-31.25,-80
BF82,BF82C,Control,aspen,TA11,BF82CTA11,5,6.75,12.5,15.2,39.45,3.85,18,25,7,33,15,7.5,62.1,83.33333333,32,3,4,5,2,66.66666667,na,na,na,na,10,13,na,8,12,na,6,8,7,10,42.85714286,30,1.428571429,1.3,-0.128571429,0,na,2,3,0,1,1,1,na,27.2,36.3,33.45588235,0,25.41,-6.580882353,27,5.1,na,15,10,4,7,4,1,,0,33.33333333,41.17647059,33.33333333,0
BF82,BF82C,Control,aspen,TA12,BF82CTA12,5,6.75,12.5,15.2,39.45,3.85,17,7,-10,12,-5,-2.5,42.1,-29.41176471,71.42857143,2,3,2,0,0,na,na,na,na,5,7,na,6,8,na,4,5,5,6.5,30,40,1,1.076923077,0.076923077,0,na,2,2,0,1,1,1,na,23.14285714,35,51.23456792,0,24.5,5.864197544,20,4.5,na,15,7,4,5.5,4,1,,0,15,55.55555556,66.66666667,9.090909091
