"Scenario","TSF","Site","species","mean","sd","low","high","Data","Variable"
"Browsing",9,"BF84","Potr",0.3,0.0896223395292159,-0.210377660470784,0.389622339529216,"Field","Height"
"Browsing",9,"BF86","Bene",1.53,0.710029650974632,-0.819970349025368,2.24002965097463,"Field","Height"
"Browsing",9,"BF86","Pima",0.46,0.182303246499371,-0.277696753500629,0.642303246499371,"Field","Height"
"Browsing",9,"BF86","Potr",0.42,0.281254707562942,-0.138745292437058,0.701254707562942,"Field","Height"
"Browsing",10,"BF72","Bene",1.93,0.598701225900479,-1.33129877409952,2.52870122590048,"Field","Height"
"Browsing",10,"BF72","Pima",0.28,0.114398886634258,-0.165601113365742,0.394398886634258,"Field","Height"
"Browsing",10,"BF72","Potr",0.84,0.549214218051519,-0.290785781948481,1.38921421805152,"Field","Height"
"Browsing",10,"BF76","Bene",2.79,0.837120848975507,-1.95287915102449,3.62712084897551,"Field","Height"
"Browsing",10,"BF76","Pima",0.39,0.21825624727298,-0.17174375272702,0.60825624727298,"Field","Height"
"Browsing",10,"BF76","Potr",1.55,0.830291641850209,-0.719708358149791,2.38029164185021,"Field","Height"
"Browsing",10,"BF79","Bene",1.29,0.366020163698556,-0.923979836301444,1.65602016369856,"Field","Height"
"Browsing",10,"BF79","Pima",0.33,0.16890592211736,-0.16109407788264,0.49890592211736,"Field","Height"
"Browsing",10,"BF79","Potr",0.76,0.306326088530866,-0.453673911469134,1.06632608853087,"Field","Height"
"Browsing",10,"BF82","Bene",1.57,0.589677130001715,-0.980322869998286,2.15967713000171,"Field","Height"
"Browsing",10,"BF82","Pima",0.29,0.17103016046731,-0.11896983953269,0.46103016046731,"Field","Height"
"Browsing",10,"BF82","Potr",0.4,0.23561179229119,-0.16438820770881,0.63561179229119,"Field","Height"
"Browsing",10,"BF84","Bene",0.79,0.386880574528327,-0.403119425471673,1.17688057452833,"Field","Height"
"Browsing",10,"BF84","Pima",0.34,0.117718441966191,-0.22228155803381,0.457718441966191,"Field","Height"
"Browsing",10,"BF84","Potr",0.3,0.0942374753183996,-0.2057625246816,0.3942374753184,"Field","Height"
"Browsing",10,"BF86","Bene",1.62,0.76591992618898,-0.85408007381102,2.38591992618898,"Field","Height"
"Browsing",10,"BF86","Pima",0.53,0.226819543388919,-0.303180456611081,0.756819543388919,"Field","Height"
"Browsing",10,"BF86","Potr",0.4,0.223992481076815,-0.176007518923185,0.623992481076815,"Field","Height"
"Browsing",12,"BF72","Bene",2.66,0.601572282046236,-2.05842771795376,3.26157228204624,"Field","Height"
"Browsing",12,"BF72","Pima",0.38,0.17487664825603,-0.20512335174397,0.55487664825603,"Field","Height"
"Browsing",12,"BF72","Potr",1.15,0.847719679475922,-0.302280320524078,1.99771967947592,"Field","Height"
"Browsing",12,"BF76","Bene",3.52,1.11348894542288,-2.40651105457712,4.63348894542288,"Field","Height"
"Browsing",12,"BF76","Pima",0.48,0.253694283486412,-0.226305716513587,0.733694283486412,"Field","Height"
"Browsing",12,"BF76","Potr",1.4,0.988970224659549,-0.411029775340451,2.38897022465955,"Field","Height"
"Browsing",12,"BF79","Bene",1.5,0.598753969330871,-0.901246030669129,2.09875396933087,"Field","Height"
"Browsing",12,"BF79","Pima",0.45,0.225095886001359,-0.224904113998641,0.675095886001359,"Field","Height"
"Browsing",12,"BF79","Potr",0.81,0.41733630400826,-0.39266369599174,1.22733630400826,"Field","Height"
"Browsing",12,"BF82","Bene",2.05,1.04702414433648,-1.00297585566352,3.09702414433648,"Field","Height"
"Browsing",12,"BF82","Pima",0.4,0.221746061497096,-0.178253938502904,0.621746061497096,"Field","Height"
"Browsing",12,"BF82","Potr",0.46,0.344335108094813,-0.115664891905187,0.804335108094813,"Field","Height"
"Browsing",12,"BF84","Bene",0.89,0.475371815080679,-0.414628184919321,1.36537181508068,"Field","Height"
"Browsing",12,"BF84","Pima",0.42,0.150769081012898,-0.269230918987102,0.570769081012898,"Field","Height"
"Browsing",12,"BF84","Potr",0.28,0.0965546840787326,-0.183445315921267,0.376554684078733,"Field","Height"
"Browsing",12,"BF86","Bene",2.03,0.90840393681352,-1.12159606318648,2.93840393681352,"Field","Height"
"Browsing",12,"BF86","Pima",0.74,0.326385306686825,-0.413614693313175,1.06638530668682,"Field","Height"
"Browsing",12,"BF86","Potr",0.36,0.223043802899107,-0.136956197100893,0.583043802899107,"Field","Height"
"No Browsing",8,"BF72","Bene",1.11,0.360162244141808,-0.749837755858192,1.47016224414181,"Field","Height"
"No Browsing",8,"BF72","Pima",0.24,0.122786721380483,-0.117213278619517,0.362786721380483,"Field","Height"
"No Browsing",8,"BF72","Potr",0.64,0.412360343184913,-0.227639656815087,1.05236034318491,"Field","Height"
"No Browsing",8,"BF76","Bene",1.73,0.665159062892004,-1.064840937108,2.395159062892,"Field","Height"
"No Browsing",8,"BF76","Pima",0.29,0.120537174872799,-0.169462825127201,0.410537174872799,"Field","Height"
"No Browsing",8,"BF76","Potr",1.03,0.47952031952995,-0.55047968047005,1.50952031952995,"Field","Height"
"No Browsing",8,"BF79","Bene",1.04,0.367688011341423,-0.672311988658577,1.40768801134142,"Field","Height"
"No Browsing",8,"BF79","Pima",0.24,0.122786721380483,-0.117213278619517,0.362786721380483,"Field","Height"
"No Browsing",8,"BF79","Potr",0.56,0.265645192730929,-0.294354807269071,0.82564519273093,"Field","Height"
"No Browsing",8,"BF82","Bene",1.14,0.503966112060388,-0.636033887939612,1.64396611206039,"Field","Height"
"No Browsing",8,"BF82","Pima",0.25,0.08899881726003,-0.16100118273997,0.33899881726003,"Field","Height"
"No Browsing",8,"BF82","Potr",0.4,0.197997208911747,-0.202002791088253,0.597997208911747,"Field","Height"
"No Browsing",8,"BF84","Bene",0.78,0.302141479582348,-0.477858520417652,1.08214147958235,"Field","Height"
"No Browsing",8,"BF84","Pima",0.34,0.11991663771137,-0.22008336228863,0.45991663771137,"Field","Height"
"No Browsing",8,"BF84","Potr",0.42,0.195127488689075,-0.224872511310925,0.615127488689075,"Field","Height"
"No Browsing",8,"BF86","Bene",1.37,0.573708847853389,-0.796291152146611,1.94370884785339,"Field","Height"
"No Browsing",8,"BF86","Pima",0.32,0.125693863686423,-0.194306136313577,0.445693863686423,"Field","Height"
"No Browsing",8,"BF86","Potr",0.45,0.184693202222952,-0.265306797777048,0.634693202222953,"Field","Height"
"No Browsing",9,"BF72","Bene",1.59,0.558411987128161,-1.03158801287184,2.14841198712816,"Field","Height"
"No Browsing",9,"BF72","Pima",0.27,0.14252885211146,-0.12747114788854,0.41252885211146,"Field","Height"
"No Browsing",9,"BF72","Potr",0.66,0.436259217969269,-0.223740782030731,1.09625921796927,"Field","Height"
"No Browsing",9,"BF76","Bene",2.36,0.945845625548071,-1.41415437445193,3.30584562554807,"Field","Height"
"No Browsing",9,"BF76","Pima",0.34,0.142863366614636,-0.197136633385364,0.482863366614636,"Field","Height"
"No Browsing",9,"BF76","Potr",1.3,0.720850922612699,-0.579149077387301,2.0208509226127,"Field","Height"
"No Browsing",9,"BF79","Bene",1.38,0.452471575146759,-0.92752842485324,1.83247157514676,"Field","Height"
"No Browsing",9,"BF79","Pima",0.3,0.149577475084424,-0.150422524915576,0.449577475084424,"Field","Height"
"No Browsing",9,"BF79","Potr",0.74,0.418071701228893,-0.321928298771107,1.15807170122889,"Field","Height"
"No Browsing",9,"BF82","Bene",1.4,0.652690585193321,-0.747309414806679,2.05269058519332,"Field","Height"
"No Browsing",9,"BF82","Pima",0.31,0.12086965576277,-0.18913034423723,0.43086965576277,"Field","Height"
