"id"	"species"	"count"	"height_from"	"height_to"	"age"
72	"Bene"	16.6666665	0.019	0.021	1
72	"Bene"	16.6666665	0.02	0.023	1
72	"Bene"	16.6666665	0.013	0.017	1
72	"Bene"	16.6666665	0.016	0.022	1
72	"Bene"	16.6666665	0.019	0.029	1
72	"Bene"	16.6666665	0.017	0.026	1
72	"Bene"	16.6666665	0.016	0.021	1
72	"Bene"	16.6666665	0.016	0.021	1
72	"Bene"	16.6666665	0.019	0.024	1
72	"Bene"	16.6666665	0.013	0.017	1
72	"Bene"	16.6666665	0.014	0.024	1
72	"Bene"	16.6666665	0.013	0.023	1
72	"Bene"	16.6666665	0.018	0.02	1
72	"Bene"	16.6666665	0.015	0.023	1
72	"Bene"	16.6666665	0.013	0.021	1
72	"Bene"	16.6666665	0.013	0.019	1
72	"Bene"	16.6666665	0.018	0.022	1
72	"Bene"	16.6666665	0.015	0.02	1
72	"Bene"	16.6666665	0.018	0.025	1
74	"Bene"	4.1666665	0.015	0.018	1
74	"Bene"	4.1666665	0.016	0.018	1
74	"Bene"	4.1666665	0.012	0.022	1
74	"Bene"	4.1666665	0.014	0.016	1
74	"Bene"	4.1666665	0.012	0.017	1
74	"Bene"	4.1666665	0.013	0.022	1
74	"Bene"	4.1666665	0.019	0.027	1
74	"Bene"	4.1666665	0.018	0.027	1
74	"Bene"	4.1666665	0.012	0.013	1
74	"Bene"	4.1666665	0.015	0.017	1
74	"Bene"	4.1666665	0.011	0.015	1
74	"Bene"	4.1666665	0.018	0.027	1
74	"Bene"	4.1666665	0.018	0.025	1
74	"Bene"	4.1666665	0.012	0.017	1
74	"Bene"	4.1666665	0.011	0.014	1
74	"Bene"	4.1666665	0.013	0.017	1
74	"Bene"	4.1666665	0.011	0.02	1
74	"Bene"	4.1666665	0.019	0.021	1
74	"Bene"	4.1666665	0.016	0.024	1
74	"Bene"	4.1666665	0.012	0.013	1
79	"Bene"	4.1666665	0.018	0.02	1
79	"Bene"	4.1666665	0.013	0.014	1
79	"Bene"	4.1666665	0.011	0.019	1
79	"Bene"	4.1666665	0.017	0.024	1
79	"Bene"	4.1666665	0.018	0.022	1
79	"Bene"	4.1666665	0.017	0.02	1
79	"Bene"	4.1666665	0.017	0.022	1
79	"Bene"	4.1666665	0.012	0.021	1
79	"Bene"	4.1666665	0.012	0.016	1
79	"Bene"	4.1666665	0.014	0.016	1
79	"Bene"	4.1666665	0.016	0.02	1
79	"Bene"	4.1666665	0.017	0.019	1
79	"Bene"	4.1666665	0.013	0.022	1
79	"Bene"	4.1666665	0.015	0.023	1
79	"Bene"	4.1666665	0.019	0.026	1
79	"Bene"	4.1666665	0.013	0.021	1
79	"Bene"	4.1666665	0.016	0.022	1
79	"Bene"	4.1666665	0.015	0.019	1
79	"Bene"	4.1666665	0.012	0.014	1
79	"Bene"	4.1666665	0.012	0.019	1
81	"Bene"	16.6666665	0.011	0.013	1
81	"Bene"	16.6666665	0.02	0.022	1
81	"Bene"	16.6666665	0.01	0.014	1
81	"Bene"	16.6666665	0.012	0.013	1
81	"Bene"	16.6666665	0.019	0.021	1
81	"Bene"	16.6666665	0.011	0.016	1
81	"Bene"	16.6666665	0.012	0.018	1
81	"Bene"	16.6666665	0.015	0.019	1
81	"Bene"	16.6666665	0.014	0.018	1
81	"Bene"	16.6666665	0.016	0.025	1
81	"Bene"	16.6666665	0.016	0.023	1
81	"Bene"	16.6666665	0.016	0.023	1
81	"Bene"	16.6666665	0.019	0.028	1
81	"Bene"	16.6666665	0.012	0.019	1
81	"Bene"	16.6666665	0.018	0.019	1
81	"Bene"	16.6666665	0.017	0.02	1
81	"Bene"	16.6666665	0.013	0.019	1
81	"Bene"	16.6666665	0.02	0.028	1
81	"Bene"	16.6666665	0.012	0.014	1
81	"Bene"	16.6666665	0.017	0.024	1
83	"Bene"	16.6666665	0.013	0.022	1
83	"Bene"	16.6666665	0.013	0.015	1
83	"Bene"	16.6666665	0.017	0.021	1
83	"Bene"	16.6666665	0.017	0.026	1
83	"Bene"	16.6666665	0.02	0.025	1
83	"Bene"	16.6666665	0.013	0.014	1
83	"Bene"	16.6666665	0.019	0.026	1
83	"Bene"	16.6666665	0.015	0.019	1
83	"Bene"	16.6666665	0.013	0.017	1
83	"Bene"	16.6666665	0.018	0.027	1
83	"Bene"	16.6666665	0.014	0.017	1
83	"Bene"	16.6666665	0.01	0.016	1
83	"Bene"	16.6666665	0.018	0.026	1
83	"Bene"	16.6666665	0.015	0.025	1
83	"Bene"	16.6666665	0.016	0.019	1
83	"Bene"	16.6666665	0.011	0.019	1
83	"Bene"	16.6666665	0.018	0.027	1
83	"Bene"	16.6666665	0.019	0.029	1
83	"Bene"	16.6666665	0.018	0.024	1
83	"Bene"	16.6666665	0.013	0.021	1
84	"Bene"	4.1666665	0.016	0.021	1
84	"Bene"	4.1666665	0.012	0.02	1
84	"Bene"	4.1666665	0.011	0.012	1
84	"Bene"	4.1666665	0.018	0.024	1
84	"Bene"	4.1666665	0.01	0.017	1
84	"Bene"	4.1666665	0.018	0.02	1
84	"Bene"	4.1666665	0.017	0.02	1
84	"Bene"	4.1666665	0.017	0.026	1
84	"Bene"	4.1666665	0.012	0.017	1
84	"Bene"	4.1666665	0.011	0.017	1
84	"Bene"	4.1666665	0.017	0.023	1
84	"Bene"	4.1666665	0.011	0.013	1
84	"Bene"	4.1666665	0.016	0.02	1
84	"Bene"	4.1666665	0.012	0.015	1
84	"Bene"	4.1666665	0.014	0.023	1
