burn,site,blk,spp,diam06,ht_new_06,diam08,ht_new_08,diam11,ht_tot_11,har11,diam13,ht13,diam15,ht15,biomass06,biomass08,biomass11,biomass13,biomass15
BF,63,9,BS,0.9,1.3,2.2,0.7,4,23.2,0,5,31,14.1,80,-0.980409973,-0.00311981,0.617071108,0.887918437,1.968744513
BF,63,9,LP,1.4,3.7,3.6,1.3,6.5,43.1,0,11,61,NA,NA,-0.66403517,0.363070403,1.103011859,1.644382043,NA
BF,63,9,PB,3.7,0.5,2.2,5,8.2,42.6,0,11,65,NA,NA,0.15829306,-0.469313977,0.863175184,1.241159471,NA
BF,63,9,TA,2.6,4.1,3.3,1,6.2,33.5,0,7,56,NA,NA,-0.267641986,0.020173939,0.663570148,0.938081311,NA
BF,63,9,WS,1.3,0,3.4,0.5,3.9,21.3,0,4,23,NA,NA,-0.518398475,0.46202096,0.587776099,0.640674123,NA
BF,63,10,BS,1.8,0.7,NA,NA,NA,NA,0,NA,NA,9.7,73,-0.222530836,NA,NA,NA,1.663853541
BF,63,10,LP,2.8,4,10.3,10.5,20.5,104.6,0,28,137,NA,NA,0.089765012,1.506265309,2.290908698,2.601404575,NA
BF,63,10,PB,3,5.4,5.8,6,7.9,73.1,0,9,89,NA,NA,-0.094886963,0.700971331,1.033912901,1.206901377,NA
BF,63,10,TA,3.6,6,6.2,3.6,8,35.4,0,8,42,NA,NA,0.125216313,0.781482875,0.920934034,0.974224121,NA
BF,63,10,WS,1.3,6,5.7,7.5,6.4,35.8,0,6,33,NA,NA,-0.518398475,0.988927307,1.141969424,1.06706001,NA
BF,63,11,BS,1.5,1.4,NA,NA,NA,NA,0,NA,NA,NA,NA,-0.421879124,NA,NA,NA,NA
BF,63,11,LP,1.7,1.6,3.4,2,3,14.2,0,5,22,8.2,42,-0.452889769,0.300910412,0.068428993,0.669341476,1.292916754
BF,63,11,WS,3.3,2,3.3,1.3,3.4,22.6,0,5,23,7.5,28,0.431577767,0.431577767,0.522091899,0.791930285,1.144697147
BF,63,12,BS,2.1,4,3.4,0,2,16.4,0,2,15,NA,NA,-0.053984259,0.472851951,-0.052372211,-0.084814167,NA
BF,63,12,LP,2.2,4.6,2.7,4,7,49.1,0,11,58,15,96,-0.172499638,0.050215061,1.20451586,1.630659481,2.018175258
BF,63,12,WS,1.8,1.6,3.2,4,4.8,39.4,0,5,46,10,56,-0.186542078,0.400197716,1.002932965,1.096280143,1.587174319
BF,63,13,BS,1.3,2.1,3.7,0,6.5,39.3,0,10,59,NA,NA,-0.578343937,0.565306025,1.167183301,1.621259009,NA
BF,63,13,LP,1.8,1.8,4.9,2.5,9.1,45.1,0,14,64,24.9,148,-0.390729778,0.698349298,1.401599265,1.857278597,2.526567551
BF,63,13,WS,1.3,1.2,NA,NA,NA,NA,0,NA,NA,NA,NA,-0.518398475,NA,NA,NA,NA
BF,63,14,BS,1.6,1.6,3.3,2.5,2.9,37.7,0,7,44,24.6,186,-0.351313449,0.440211065,0.535097824,1.259924413,2.611996616
