"TSF","species","height","dbh","basal","height_sd","dbh_sd","basal_sd","Scenario"
15,"Pigl",4.04934167861938,5.08452844619751,0.00203044506645205,NA,NA,NA,"Exclosure"
15,"Pima",4.17115261614774,4.73533753558974,0.0107990912732116,0.360947455339688,0.387368314417798,0.0178107163975949,"Exclosure"
15,"Potr",221.664722158007,1.39082580651811,0.018424773962066,50.8493678582717,0.547245259811703,0.019565205964419,"Exclosure"
16,"Bene",231.551844020547,2.26785839501428,0.0241283833028963,101.067221012948,0.991530759290037,0.0243729900058084,"Exclosure"
16,"Pigl",86.2676811918179,1.03820730761924,0.00358581429514996,5.65684902882645,0.282283306705165,0.00329234465816331,"Exclosure"
16,"Pima",4.16594124488283,4.73590906050264,0.0097009833978964,0.379686680026344,0.411211991111648,0.0161807536435962,"Exclosure"
16,"Potr",230.789962842922,1.43370297325872,0.0188000296364536,54.1434749552814,0.546739570042196,0.0196127766787789,"Exclosure"
17,"Bene",234.442014007366,2.29578987308684,0.0234793180448345,101.971436504252,1.01233704907685,0.0258318196178434,"Exclosure"
17,"Pigl",89.5094985119566,1.061549439142,0.00638839495447662,4.75925957065823,0.187170206086931,0.0045076388669598,"Exclosure"
17,"Pima",4.20224987287223,4.75966135001253,0.0109954899824567,0.411791273472187,0.462941232968836,0.0201780769163498,"Exclosure"
17,"Potr",241.557833212516,1.49044202571567,0.019189665865968,59.0512405502828,0.559130932791839,0.0198622430576402,"Exclosure"
18,"Bene",237.73804049282,2.32986782141895,0.0235477929631078,102.956285633591,1.03355534365317,0.0309984090066445,"Exclosure"
18,"Pigl",93.3169993049899,1.10729771805641,0.00722346498541152,7.34819992812799,0.195830207439444,0.00447312580977822,"Exclosure"
18,"Pima",40.6804462578568,3.18165006052669,0.0121357131801831,42.9045720661543,1.87973018145754,0.0191761719265946,"Exclosure"
18,"Potr",254.872180795324,1.55862924752549,0.0194166736722677,65.5038566534914,0.537899888964378,0.0201642345442876,"Exclosure"
19,"Bene",240.095684450238,2.35576715548638,0.0235727806598048,103.862166466527,1.04964356802291,0.0338154440315672,"Exclosure"
19,"Pigl",95.9537437739391,1.13642636999631,0.00694161468888329,9.48759246528693,0.205401980767138,0.00450077229730624,"Exclosure"
19,"Pima",61.9283442415308,2.31234482276393,0.0126008986101854,41.9345971562851,1.77507432050274,0.017209004713015,"Exclosure"
19,"Potr",260.970376133792,1.59109394171498,0.0188265446396866,67.9307579225327,0.536827963104293,0.020330731189881,"Exclosure"
20,"Bene",247.522565364789,2.23946190108739,0.0221208516256101,95.8657937017409,0.841060964628159,0.0328699750353555,"Exclosure"
20,"Pigl",98.6971648303868,1.16502678739166,0.00750044314932695,11.7028114390114,0.180765888935854,0.00451395330511295,"Exclosure"
20,"Pima",69.8097413009252,2.084786496927,0.014656735703361,40.7789997492962,1.66108559181099,0.0172786971729076,"Exclosure"
20,"Potr",265.45607586962,1.56336837489056,0.019571623130477,64.627967101224,0.381980483721649,0.0161617219752093,"Exclosure"
21,"Bene",243.961680198397,2.26778537190725,0.0233160151204255,99.2757797533841,0.907196979556808,0.0450367787552682,"Exclosure"
