burn	site	blk	spp	diam06	ht_new_06	diam08	ht_new_08	diam11	ht11	diam13	ht13	diam15	ht15
DC	31	11	BS	1.5	1.2	3.5	7	17.6	72.4	2.1	111	2.80	160
DC	31	12	BS	3	12.5	7.2	9	13.8	76.1	2.5	103	3.51	160
DC	31	13	BS	2.5	9.4	7	9.5	19	51.5	2	70	2.08	108
DC	31	14	BS	2.7	6.7	6.5	9.5	11.6	55.2	1.2	77	1.95	106
DC	34	8	BS	2	1.2	2.7	4	5.7	24.9	0.7	32	0.92	48
DC	34	9	BS	1.6	1.4	2.5	1	8.8	60.4	1.3	86	1.67	111
DC	34	10	BS	1.1	1.3	2.6	5	5.3	26.9	0.8	35	0.91	47
DC	34	11	BS	0.9	0	3.5	0	4.7	29.5	1.1	35	1.16	51
DC	34	12	BS	1.5	1.9	1.6	1	4.3	34.2	0.7	33	1.05	69
DC	34	13	BS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DC	34	14	BS	1.2	2.5	1.5	3	NA	NA	NA	NA	NA	NA
DC	35	8	BS	1.5	2.1	3.6	1.2	4.2	33.1	0.7	49	1.16	76
DC	35	9	BS	1.3	1.8	4.1	1	6.2	43.5	1	73		
DC	35	10	BS	1.2	1.2	2	1	5.8	23.2			0.98	59
DC	35	11	BS	1.8	4.4	3.9	3.2	11.1	82.6	1.6	120	2.31	135
DC	35	12	BS	1.1	1.6	3.1	4.2	6.3	49.2	1.4	66	1.38	87
DC	35	13	BS	1.5	3	2.9	4.2	6.9	53.1	0.9	75	1.67	97
DC	35	14	BS	2.1	1.8	2.6	3.5	4.4	39.9	0.5	62	0.92	66
DC	37	8	BS	2.4	13.3	2.1	11	4.3	35.1	0.5	38	0.70	50
DC	37	9	BS	1	7.5	1.6	4	2.2	17.1	0.3	16	0.40	30
DC	37	10	BS	1.2	5.9	2.6	5	3.2	29.2	0.4	39	0.69	51
DC	37	11	BS	1.9	7.1	2.7	6.4	4.2	23.6	0.6	30	0.66	43
DC	37	12	BS	1.7	2.7	2.5	4	4.2	24	0.6	38	0.95	55
DC	37	13	BS	1.8	5	3.9	5	5	31.6	0.7	61	1.37	110
DC	37	14	BS	1.4	1.6	2.2	4	4.1	22.9	0.4	37	0.73	56
DC	39	8	BS	1.6	4.2	4.5	2.4	3	26.9	0.4	38	0.75	65
DC	39	9	BS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DC	39	10	BS	1.8	1.6	4	2.5	8.6	44.6	0.6	53	0.91	58
DC	39	11	BS	1.6	1	2.4	1	5.5	27.4	0.4	37	0.80	49
DC	39	12	BS	1.2	2	3.1	0	4.7	21.2	0.5	32	0.75	43
DC	39	13	BS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DC	39	14	BS	1.5	2	2	3	4.4	34.5			0.89	69
DC	40	8	BS	1.4	3.8	2.8	2	3.9	27.8	0.7	43	1.22	65
DC	40	9	BS	1.9	2.6	2.6	2.5	2.9	13.6	0.3	14	0.56	19
DC	40	10	BS	1.6	2.6	3.2	4	2.1	13			0.60	18
DC	40	11	BS	1.7	2.3	3.9	3.1	3.2	19.6	0.4	26	0.57	28
DC	40	12	BS	1.4	1.1	1.8	2.5	2	15.8	0.2	17	0.51	26
DC	40	13	BS	1.4	2	3.1	0.6	3.5	20.8	0.5	21	0.70	25
DC	40	14	BS	1.8	3	2	2.2	2	12.8	0.4	14	0.46	17
DC	42	8	BS	2.2	0	3.2	2.5	4.4	22.5	0.3	30	0.68	40
DC	42	9	BS	1.2	1.8	2.7	1	2.6	16.4	0.3	18	0.44	19
DC	42	10	BS	1.8	4.8	4.2	3	3.8	29.5	0.5	38	0.69	47
DC	42	11	BS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DC	42	12	BS	1.6	2.5	1.9	4.5	3.6	17.8			0.44	22
DC	42	13	BS	1.7	2.7	2.9	4	3.7	20.1	0.7	28	0.70	32
DC	42	14	BS	2.1	4	2.5	4.2	4.9	31.2	0.5	42	0.72	51
DC	44	8	BS	1.7	1.5	3.1	2.5	3.3	25.8	0.9	60	0.78	47
DC	44	9	BS	1.3	1.5	2.1	2.5	5.7	27.5	0.4	30	1.29	83
DC	44	10	BS	1.6	1.5	3.2	0	6.2	29	0.6	33	0.70	37
DC	44	11	BS	1.3	1	NA	NA	NA	NA	NA	NA	NA	NA
DC	44	12	BS	NA	NA	2.3	3.5	5.6	36.5	0.7	53	1.20	73
DC	44	13	BS	1.3	1.4	1.9	1.5	4	21.2	0.6	39		
DC	44	14	BS	1.8	1.3	2.3	2	5.2	11.1	0.6	33	1.12	56
DC	46	8	BS	1.5	1.8	2.3	0	3.6	16.4	0.3	29	0.69	24
DC	46	9	BS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DC	46	10	BS	1.2	1.5	5.4	2.5	14.6	74.7	2	95	2.62	148
DC	46	11	BS	1.7	0	5.4	4	12	46.8	1.1	72	1.68	63
DC	46	12	BS	1.2	2.2	3.5	5.6	7.1	44.8	1.9	65	1.32	78
DC	46	13	BS	1.6	1.8	3.2	5.3	5	42.6	0.9	39	0.91	54
DC	46	14	BS	1.3	3.8	4	3.5	5.4	38.8	0.9	57	0.95	72
DC	49	8	BS	1.6	0	3.2	1	NA	NA	NA	NA		
DC	49	9	BS	1.4	2	2.2	3	3.4	16.6	NA	NA	0.60	42
DC	49	10	BS	1.8	2	0.6	0	1.5	16.1	NA	NA	0.50	47
DC	49	11	BS	1.6	1.2	2.4	3	3.5	11.1	NA	NA	0.80	34
DC	49	12	BS	1.6	2	3	0.5	2.9	21.4	NA	NA	0.71	52
DC	49	13	BS	1.1	1.3	1.5	3.5	4.6	25.8	NA	NA	0.92	59
DC	49	14	BS	2	0	2.5	4	NA	NA	NA	NA		
DC	51	8	BS	2.4	4.5	5.7	3.5	8	41.7	NA	NA	1.05	62
DC	51	9	BS	1	0.9	1.8	1	2.2	9.3	NA	NA	0.25	17
DC	51	10	BS	1.4	0	4	3.3	6.2	29.1	NA	NA	0.88	44
DC	51	11	BS	2.3	5.5	6.9	7	11.5	68.5	NA	NA	2.00	130
DC	51	12	BS	NA	NA	NA	NA	NA	NA	NA	NA		
DC	51	13	BS	2	1	4.8	6.5	9.9	43.1	NA	NA	1.26	72
DC	51	14	BS	1.4	1.1	2.1	0	3.5	21.8	NA	NA	0.72	40
DC	53	8	BS	1.5	2.1	2.4	0.7	2	16.6	NA	NA	0.35	24
DC	53	9	BS	1.8	0	1.9	2.6	2.8	23.1	NA	NA	0.41	37
DC	53	10	BS	1.3	2	1.9	1.1	2.1	24.1	NA	NA	0.43	41
DC	53	11	BS	1.3	3.2	3.9	14.5	9.4	69.8	NA	NA	1.58	155
DC	53	12	BS	1.1	3.3	2.3	2.2	3.7	21.8	NA	NA		
DC	53	13	BS	1.3	9.6	2.9	8.3	3	22.5	NA	NA	1.66	46
DC	53	14	BS	1.2	4.6	3.1	5.7	2.7	15.2	NA	NA	0.48	27
DC	54	8	BS	1.4	2	NA	NA	NA	NA	NA	NA	NA	NA
DC	54	9	BS	1.5	1.7	2.2	1	NA	NA	NA	NA	NA	NA
DC	54	10	BS	1.7	1.2	NA	NA	NA	NA			0.47	18
DC	54	11	BS	1.3	1.1	1.5	1	NA	NA	NA	NA	NA	NA
DC	54	12	BS	1	1.2	NA	NA	NA	NA	NA	NA	NA	NA
DC	54	13	BS	1	1.5	2.2	2	3.6	15.2	0.5	18		
DC	54	14	BS	1.8	1.9	NA	NA	NA	NA			1.37	73
BF	61	8	BS	1.7	3.5	2.7	0.5	5.7	49.9	0.7	57	0.65	41
BF	61	9	BS	1.4	3.6	4.7	7.5	8.4	71	1	79	0.96	61
BF	61	10	BS	1.8	1.5	2.9	1	5.9	39.4	0.8	48	1.41	79
BF	61	11	BS	1.6	0	2.6	0.5	5.3	29.9	0.7	37		
BF	61	12	BS	1.4	1.3	2.5	1.5	2.1	14	0.4	21		
BF	61	13	BS	1.1	2.3	2.9	1.5	3.1	31.5	0.5	36		
BF	61	14	BS	1.3	0.6	2.1	1	5.3	34.3	0.9	40	0.98	59
BF	62	8	BS	1.5	2.1	5.9	4	5.1	29.9	0.7	33	0.92	63
BF	62	9	BS	NA	NA	NA	NA	NA	NA			1.11	65
BF	62	10	BS	1.3	1.9	2.9	1.2	4.3	32.4	0.6	43	1.41	83
BF	62	11	BS	1	1.5	3.7	1.3	3.9	24.9	0.6	31		
BF	62	12	BS	1.3	1.6	3.1	1	4.6	29.1	0.6	43		
BF	62	13	BS	1.6	1.2	3.9	2	5.7	34.6	0.7	42		
BF	62	14	BS	0.8	3.2	3.8	5	6.1	42.3	0.8	46		
BF	63	8	BS	1	1.7	2.2	0	3.4	10.3	0.3	13	0.31	16
BF	63	9	BS	0.9	1.3	2.2	0.7	4	23.2	0.5	31	1.41	80
BF	63	10	BS	1.8	0.7	NA	NA	NA	NA			0.97	73
BF	63	11	BS	1.5	1.4	NA	NA	NA	NA	NA	NA	NA	NA
BF	63	12	BS	2.1	4	3.4	0	2	16.4	0.2	15		
BF	63	13	BS	1.3	2.1	3.7	0	6.5	39.3	1	59		
BF	63	14	BS	1.6	1.6	3.3	2.5	2.9	37.7	0.7	44	2.46	186
BF	76	8	BS	1.9	10	4.2	13	7.8	68.6	1.1	95	1.78	175
BF	76	9	BS	3	11	8.2	11	11.1	92.2	1.3	124	1.68	154
BF	76	10	BS	3	17	6.6	13	11	90.1	1.6	153	1.47	115
BF	76	11	BS	3.7	12.1	9.3	8	16.3	84.3	2.1	110	0.87	48
BF	76	12	BS	2.6	15.5	5.9	9	10.7	104.6	1.2	135	1.75	82
BF	76	13	BS	3	9	4.3	5.5	11.1	104.8	1.5	120	1.17	57
BF	76	14	BS	1.7	0	5.2	2.5	8.3	56.1	1	71		
BF	78	8	BS	0.5	0.5	2.2	1	5.6	32.7	0.6	35		
BF	78	9	BS	1	3	4.6	13.5	8.5	50.9	1.1	55		
BF	78	10	BS	1.6	1.5	4.3	4.3	7.3	49.2	1	55		
BF	78	11	BS	1.6	2.2	4.9	4.8	NA	NA	NA	NA	NA	NA
BF	78	12	BS	1.4	1	2.6	0.9	NA	NA	NA	NA	NA	NA
BF	78	13	BS	1.3	2.1	3.5	2.1	NA	NA	NA	NA	NA	NA
BF	78	14	BS	1.9	1.7	2.2	2	NA	NA			0.99	71
BF	79	8	BS	1.5	2.5	4	2.6	2.4	40.6	0.5	44	0.87	67
BF	79	9	BS	1.7	2.7	2.5	2.1	4	40.8	0.5	47	1.88	137
BF	79	10	BS	2	2.3	4.5	3.5	6.2	58.5	1.1	63	1.62	131
BF	79	11	BS	2.5	7	4.9	4.3	5.6	42.3	0.7	47		
BF	79	12	BS	2.8	5.8	2.3	2.8	5.8	44.9	0.6	43		
BF	79	13	BS	2.4	6.5	4.2	9.7	10	82.4	1.3	97		
BF	79	14	BS	2.5	8	5.5	2.4	10.4	85.6	1.3	100	1.23	101
BF	81	8	BS	1.5	3.5	3.5	6.3	3.1	33.5	0.4	37	0.68	68
BF	81	9	BS	2.7	4.2	2.2	3.5	5.9	45	0.7	56	1.31	109
BF	81	10	BS	2.6	5.9	NA	8.9	9	63	1	80	1.22	85
BF	81	11	BS	1.3	3.8	2.9	3.4	6.6	48	0.9	62	1.24	78
BF	81	12	BS	0.9	1	2	0.8	3.2	30.3	0.5	34	0.55	34
BF	81	13	BS	1.4	2.9	3.5	5.8	9.3	51	0.9	66	0.34	30
BF	81	14	BS	1.8	3.3	3.3	4.1	6.2	55.5	0.9	61		
BF	84	8	BS	1.2	1.3	2.6	1.5	NA	NA	0.4	22		
BF	84	9	BS	1.8	1.2	1.5	0.9	2.6	21	0.3	23	0.90	74
BF	84	10	BS	1.5	1	NA	NA	4.7	14.2	0.3	12	0.92	53
BF	84	11	BS	1.1	1.1	1.2	1.6	NA	NA	NA	NA	NA	NA
BF	84	12	BS	1.3	1	2.5	1.3	NA	NA	NA	NA	NA	NA
BF	84	13	BS	1.7	1.3	2.5	1.4	5.1	48.6	0.6	47		
BF	84	14	BS	1.3	1.3	3.4	1.5	5.2	41.5	0.6	45	1.09	106
BF	86	8	BS	1.5	4.5	2.6	5	5.8	31.2	0.4	41	1.23	106
BF	86	9	BS	1.5	3	2.9	5.5	5.7	52.4	1	59	0.85	68
BF	86	10	BS	1.5	2	3.5	5.5	4.7	30.4			0.94	85
BF	86	11	BS	1.9	5.3	2.6	4.5	6.6	55.2	0.6	77		
BF	86	12	BS	2.5	10	4.5	4.5	6.6	63.9	0.7	70		
BF	86	13	BS	2.5	2.3	4.5	4.5	5.2	37.8	0.4	38		
BF	86	14	BS	2	2.1	5	5	5.2	25.1	0.6	48	0.97	109
BF	87	8	BS	2.1	10.5	4.7	5	7.9	65.5	1.1	85	0.52	43
BF	87	9	BS	1	2.5	4	5.5	5.1	38	0.4	43	1.25	83
BF	87	10	BS	1.2	4.7	2.7	6	6.9	49	0.6	58	1.22	88
BF	87	11	BS	1.7	2.1	2.7	4.5	5.8	68.9	0.6	80		
BF	87	12	BS	2.5	4.4	2.3	7	4.1	30.9	0.3	30	0.78	52
BF	87	13	BS	1.3	5.3	3	6	5.2	46.3	0.6	53		
BF	87	14	BS	2.7	3.4	3.2	2	7.1	46.5	1	56		
BF	91	8	BS	1.4	0.8	3.6	0.3	3.3	18.9	0.6	24		
BF	91	9	BS	1.9	2.5	4.6	3	5.8	31.2	0.7	37	0.36	16
BF	91	10	BS	2.1	1	2.3	0.5	2.4	15.2	0.3	18	0.32	19
