burn	site	block	spp	Ht (cm)	BD (cm)	DBH (cm)
BF	91	14	BS	19	0.32	
BF	92	8	BS			
BF	92	9	BS			
BF	92	10	BS			
BF	92	11	BS	118	1.64	
BF	92	12	BS	92	1.80	
BF	92	13	BS			
BF	92	14	BS	134	2.09	0.3
TC	1	8	LP			
TC	1	9	LP	23	0.62	
TC	1	10	LP			
TC	1	11	LP	113	2.82	
TC	1	12	LP			
TC	1	13	LP	23	0.80	
TC	1	14	LP			
TC	4	8	LP			
TC	4	9	LP			
TC	4	10	LP	60	1.11	
TC	4	11	LP			
TC	4	12	LP			
TC	4	13	LP	40	0.84	
TC	4	14	LP	15	0.44	
TC	8	8	LP	50	0.95	
TC	8	9	LP	105	2.32	
TC	8	10	LP			
TC	8	11	LP	22	0.42	
TC	8	12	LP			
TC	8	13	LP	19	0.35	
TC	8	14	LP	27	0.49	
TC	10	8	LP			
TC	10	9	LP	41	0.98	
TC	10	10	LP			
TC	10	11	LP			
TC	10	12	LP	40	0.58	
TC	10	13	LP	111	2.05	
TC	10	14	LP	27	0.49	
TC	13	8	LP			
TC	13	9	LP			
TC	13	10	LP			
TC	13	11	LP	49	1.10	
TC	13	12	LP	39	0.81	
TC	13	13	LP	15	0.44	
TC	13	14	LP	54	0.80	
TC	14	8	LP	161	4.64	0.88
TC	14	9	LP	73	1.08	
TC	14	10	LP	184	5.46	2.01
TC	14	11	LP	99	1.88	
TC	14	12	LP	147	2.93	0.78
TC	14	13	LP			
TC	14	14	LP	94	1.75	
TC	19	8	LP	176	4.34	1.41
TC	19	9	LP			
TC	19	10	LP			
TC	19	11	LP	94	2.32	
TC	19	12	LP			
TC	19	13	LP	106	2.14	
TC	19	14	LP	92	1.68	
TC	23	8	LP	255	6.29	2.93
TC	23	9	LP	227	5.19	2.23
TC	23	10	LP	201	4.27	2.56
TC	23	11	LP	82	2.22	
TC	23	12	LP	190	6.29	1.22
TC	23	13	LP	216	5.03	1.98
TC	23	14	LP	149	4.58	1.01
TC	24	8	LP	190	3.77	1.84
TC	24	9	LP			
TC	24	10	LP			
TC	24	11	LP			
TC	24	12	LP			
TC	24	13	LP			
TC	24	14	LP	191	3.97	1.84
TC	25	8	LP			
TC	25	9	LP			
TC	25	10	LP			
TC	25	11	LP	68	1.62	
TC	25	12	LP	48	0.78	
TC	25	13	LP	14	0.31	
TC	25	14	LP	46	0.90	
TC	26	8	LP			
TC	26	9	LP			
TC	26	10	LP			
TC	26	11	LP	42	0.88	
TC	26	12	LP	42	1.08	
TC	26	13	LP	152	3.86	
TC	26	14	LP	104	2.98	
TC	27	8	LP	58	1.23	
TC	27	9	LP	56	1.11	
TC	27	10	LP	23	0.51	
TC	27	11	LP	49	0.98	
TC	27	12	LP			
TC	27	13	LP	59	0.93	
TC	27	14	LP	35	0.70	
TC	29	8	LP			
TC	29	9	LP			
TC	29	10	LP			
TC	29	11	LP			
TC	29	12	LP	55	1.21	
TC	29	13	LP	203	3.90	1.93
TC	29	14	LP	123	1.98	
DC	30	8	LP	206	5.90	2.05
DC	30	9	LP	196	5.10	1.69
DC	30	10	LP	103	3.86	
DC	30	11	LP	181	6.06	1.9
DC	30	12	LP	122	5.32	
DC	30	13	LP	113	2.69	
DC	30	14	LP			
DC	31	8	LP	140	6.29	0.82
DC	31	9	LP	199	6.71	1.78
DC	31	10	LP	198	6.68	2.16
DC	31	11	LP	134	5.38	0.81
DC	31	12	LP	176	5.60	1.42
DC	31	13	LP	145	6.19	0.79
DC	31	14	LP	206	5.70	2.06
